video,category,pose_sequence,subset
pose_data/test/russian twist/russian twist_1.npy,russian twist,russian twist_1.npy,test
pose_data/test/russian twist/video17t.npy,russian twist,video17t.npy,test
pose_data/train/deadlift/92fb9d3d-a064-4489-8396-cf8a35b752d8.npy,deadlift,92fb9d3d-a064-4489-8396-cf8a35b752d8.npy,train
pose_data/train/deadlift/4d9dc93d-1f28-40da-88f0-fedd3d1f0967.npy,deadlift,4d9dc93d-1f28-40da-88f0-fedd3d1f0967.npy,train
pose_data/train/deadlift/2e48cc21-c0c2-4f04-8f52-c2610b0bea6d.npy,deadlift,2e48cc21-c0c2-4f04-8f52-c2610b0bea6d.npy,train
pose_data/train/deadlift/9c5c2c3b-6f2a-4ab7-8ca2-13fef3262597.npy,deadlift,9c5c2c3b-6f2a-4ab7-8ca2-13fef3262597.npy,train
pose_data/train/deadlift/79dee13d-13ab-460e-997b-7283ef9c242b.npy,deadlift,79dee13d-13ab-460e-997b-7283ef9c242b.npy,train
pose_data/train/deadlift/516273ac-d834-4336-b735-0f3009eef3cc.npy,deadlift,516273ac-d834-4336-b735-0f3009eef3cc.npy,train
pose_data/train/deadlift/3fe08ad6-0a66-494c-8479-d70239564ff4.npy,deadlift,3fe08ad6-0a66-494c-8479-d70239564ff4.npy,train
pose_data/train/deadlift/096dc686-5b40-4e09-998d-ea556004b722.npy,deadlift,096dc686-5b40-4e09-998d-ea556004b722.npy,train
pose_data/train/deadlift/2b599cbd-a4f7-45b6-bda9-0316270f9c04.npy,deadlift,2b599cbd-a4f7-45b6-bda9-0316270f9c04.npy,train
pose_data/train/deadlift/2e22d77e-94ce-47f6-912d-a28f1c4f70cf.npy,deadlift,2e22d77e-94ce-47f6-912d-a28f1c4f70cf.npy,train
pose_data/train/deadlift/481fc72f-2fcf-450b-b243-448281349ec5.npy,deadlift,481fc72f-2fcf-450b-b243-448281349ec5.npy,train
pose_data/train/deadlift/625d3ad8-6ac0-42a9-acb0-dc84fd260424.npy,deadlift,625d3ad8-6ac0-42a9-acb0-dc84fd260424.npy,train
pose_data/train/deadlift/9615f646-81b3-4ddc-8a12-b8c31aaa4830.npy,deadlift,9615f646-81b3-4ddc-8a12-b8c31aaa4830.npy,train
pose_data/train/deadlift/9262eaae-fe13-4d51-af06-be2c70da0503.npy,deadlift,9262eaae-fe13-4d51-af06-be2c70da0503.npy,train
pose_data/train/deadlift/7e8d0739-80f9-4748-ae0c-735be24e46b1.npy,deadlift,7e8d0739-80f9-4748-ae0c-735be24e46b1.npy,train
pose_data/train/deadlift/7c55df16-fa5d-4080-bdd5-310a66d72a2d.npy,deadlift,7c55df16-fa5d-4080-bdd5-310a66d72a2d.npy,train
pose_data/train/deadlift/fad0c258-c9e9-419a-a813-29e86ee6886d.npy,deadlift,fad0c258-c9e9-419a-a813-29e86ee6886d.npy,train
pose_data/train/deadlift/6c0028f5-d3b1-4075-a2d5-d176b3e7dafb.npy,deadlift,6c0028f5-d3b1-4075-a2d5-d176b3e7dafb.npy,train
pose_data/train/deadlift/d939b4c2-3f98-4598-92f7-62c5a280a352.npy,deadlift,d939b4c2-3f98-4598-92f7-62c5a280a352.npy,train
pose_data/train/deadlift/8a7a0a83-339f-485c-9063-c4175e0349f7.npy,deadlift,8a7a0a83-339f-485c-9063-c4175e0349f7.npy,train
pose_data/train/deadlift/74cd7d17-37cf-41ff-b19a-5a9d9467b78f.npy,deadlift,74cd7d17-37cf-41ff-b19a-5a9d9467b78f.npy,train
pose_data/train/deadlift/f9199dfc-d868-48f3-add8-ebd22f024e69.npy,deadlift,f9199dfc-d868-48f3-add8-ebd22f024e69.npy,train
pose_data/train/deadlift/5f16d9eb-3d0a-4f1d-97d7-0e9b05393829.npy,deadlift,5f16d9eb-3d0a-4f1d-97d7-0e9b05393829.npy,train
pose_data/train/deadlift/812f89ff-1130-4439-aac6-62fd8c519593.npy,deadlift,812f89ff-1130-4439-aac6-62fd8c519593.npy,train
pose_data/train/deadlift/5d221d49-d691-4581-a76e-d139e80df0d9.npy,deadlift,5d221d49-d691-4581-a76e-d139e80df0d9.npy,train
pose_data/train/deadlift/6022d586-6c1c-4aad-bcef-da8e6d4ec562.npy,deadlift,6022d586-6c1c-4aad-bcef-da8e6d4ec562.npy,train
pose_data/train/deadlift/3e58e33f-1711-4d67-8d16-52f96b8ac6e4.npy,deadlift,3e58e33f-1711-4d67-8d16-52f96b8ac6e4.npy,train
pose_data/train/deadlift/c65f939e-a520-478c-8130-1cf66f459598.npy,deadlift,c65f939e-a520-478c-8130-1cf66f459598.npy,train
pose_data/train/deadlift/b6fbc8b7-e2be-4898-8be4-60e4bcfc5533.npy,deadlift,b6fbc8b7-e2be-4898-8be4-60e4bcfc5533.npy,train
pose_data/train/deadlift/b6d008eb-3e0c-4c45-853d-e5edfe636bd2.npy,deadlift,b6d008eb-3e0c-4c45-853d-e5edfe636bd2.npy,train
pose_data/train/deadlift/edbc55d6-3cde-4ee6-983f-95927ccfa6f6.npy,deadlift,edbc55d6-3cde-4ee6-983f-95927ccfa6f6.npy,train
pose_data/train/deadlift/cc018374-fcf7-47aa-8bdb-3f7bccf4f4cc.npy,deadlift,cc018374-fcf7-47aa-8bdb-3f7bccf4f4cc.npy,train
pose_data/train/deadlift/6462b813-527f-407d-b636-93dd10a8b948.npy,deadlift,6462b813-527f-407d-b636-93dd10a8b948.npy,train
pose_data/train/deadlift/4113d6fc-e4b5-4fae-b267-65b1e1c6a3c8.npy,deadlift,4113d6fc-e4b5-4fae-b267-65b1e1c6a3c8.npy,train
pose_data/train/deadlift/79248c9d-c90d-44f0-9079-f517d94720c9.npy,deadlift,79248c9d-c90d-44f0-9079-f517d94720c9.npy,train
pose_data/train/deadlift/8f36733f-e692-49d7-8bfa-237467959303.npy,deadlift,8f36733f-e692-49d7-8bfa-237467959303.npy,train
pose_data/train/deadlift/94a500bb-bbd6-4136-b323-66afd77bba1a.npy,deadlift,94a500bb-bbd6-4136-b323-66afd77bba1a.npy,train
pose_data/train/deadlift/41c5504a-7d3c-48e3-a19c-5441234db811.npy,deadlift,41c5504a-7d3c-48e3-a19c-5441234db811.npy,train
pose_data/train/deadlift/ec1b0d15-a07f-4602-9dc2-ae1466031b23.npy,deadlift,ec1b0d15-a07f-4602-9dc2-ae1466031b23.npy,train
pose_data/train/deadlift/e6fa6400-593b-4f65-adc7-04b88e005d2c.npy,deadlift,e6fa6400-593b-4f65-adc7-04b88e005d2c.npy,train
pose_data/train/deadlift/0925f4eb-58fa-4e45-a6e7-e03265f0372d.npy,deadlift,0925f4eb-58fa-4e45-a6e7-e03265f0372d.npy,train
pose_data/train/deadlift/fb91e5e9-b507-40cb-af56-45a99a2fd491.npy,deadlift,fb91e5e9-b507-40cb-af56-45a99a2fd491.npy,train
pose_data/train/deadlift/3e5f9de9-7dc3-4149-889b-316336eab88e.npy,deadlift,3e5f9de9-7dc3-4149-889b-316336eab88e.npy,train
pose_data/train/deadlift/224b0450-d38c-4dfa-9adb-5699aca9110b.npy,deadlift,224b0450-d38c-4dfa-9adb-5699aca9110b.npy,train
pose_data/train/deadlift/995f7850-58e2-4c7a-8c3a-165d874f12ec.npy,deadlift,995f7850-58e2-4c7a-8c3a-165d874f12ec.npy,train
pose_data/train/deadlift/3a2e4a07-4587-4474-9eb0-434a701de631.npy,deadlift,3a2e4a07-4587-4474-9eb0-434a701de631.npy,train
pose_data/train/deadlift/5f520743-d93f-4b0f-9ed0-d7eab1a7f739.npy,deadlift,5f520743-d93f-4b0f-9ed0-d7eab1a7f739.npy,train
pose_data/train/deadlift/e950794c-c95e-4462-8643-edba41afbd3f.npy,deadlift,e950794c-c95e-4462-8643-edba41afbd3f.npy,train
pose_data/train/deadlift/0993ca59-dc70-4048-9847-5094d64466a2.npy,deadlift,0993ca59-dc70-4048-9847-5094d64466a2.npy,train
pose_data/train/deadlift/032a5926-7f81-4e94-ab1d-87e2540e67f3.npy,deadlift,032a5926-7f81-4e94-ab1d-87e2540e67f3.npy,train
pose_data/train/deadlift/3c3c8eba-42eb-4574-8240-fd297dd8f3b6.npy,deadlift,3c3c8eba-42eb-4574-8240-fd297dd8f3b6.npy,train
pose_data/train/deadlift/d8567dbc-38cc-4cb2-bc79-ca64239c4b52.npy,deadlift,d8567dbc-38cc-4cb2-bc79-ca64239c4b52.npy,train
pose_data/train/deadlift/27cf6847-84de-4e59-bafa-f1b22d449ad5.npy,deadlift,27cf6847-84de-4e59-bafa-f1b22d449ad5.npy,train
pose_data/train/deadlift/aaa80aa2-6035-4c33-b877-b39364da0aaf.npy,deadlift,aaa80aa2-6035-4c33-b877-b39364da0aaf.npy,train
pose_data/train/deadlift/1ac971de-e625-4c80-9248-fed992df8105.npy,deadlift,1ac971de-e625-4c80-9248-fed992df8105.npy,train
pose_data/train/hammer curl/370bff27-41c5-4bdc-b160-2a74c1ab742c.npy,hammer curl,370bff27-41c5-4bdc-b160-2a74c1ab742c.npy,train
pose_data/train/hammer curl/ccb5055b-54dd-4dea-bff2-826ac39b5a5f.npy,hammer curl,ccb5055b-54dd-4dea-bff2-826ac39b5a5f.npy,train
pose_data/train/hammer curl/3d7cfe0f-0799-4736-82ce-a4d4068e7c32.npy,hammer curl,3d7cfe0f-0799-4736-82ce-a4d4068e7c32.npy,train
pose_data/train/hammer curl/38f59d95-aef9-4039-9234-b584e74d80b5.npy,hammer curl,38f59d95-aef9-4039-9234-b584e74d80b5.npy,train
pose_data/train/hammer curl/bbf51c79-5935-4d47-b35c-c853f9148d14.npy,hammer curl,bbf51c79-5935-4d47-b35c-c853f9148d14.npy,train
pose_data/train/hammer curl/355a8c82-a19d-4739-b9f5-a4d22aca8e98.npy,hammer curl,355a8c82-a19d-4739-b9f5-a4d22aca8e98.npy,train
pose_data/train/hammer curl/3b4df2b0-a5d7-4d8b-b349-a6afac2ccda9.npy,hammer curl,3b4df2b0-a5d7-4d8b-b349-a6afac2ccda9.npy,train
pose_data/train/hammer curl/3fef36a1-c2ea-40bf-8204-e35aa3825d1d.npy,hammer curl,3fef36a1-c2ea-40bf-8204-e35aa3825d1d.npy,train
pose_data/train/hammer curl/d02465a2-b7e5-4783-856a-2d7938bb4b5b.npy,hammer curl,d02465a2-b7e5-4783-856a-2d7938bb4b5b.npy,train
pose_data/train/hammer curl/2a5ec829-4120-4658-a29d-ee2d223b735b.npy,hammer curl,2a5ec829-4120-4658-a29d-ee2d223b735b.npy,train
pose_data/train/hammer curl/6547c025-cc65-429b-924f-086ae0c845c6.npy,hammer curl,6547c025-cc65-429b-924f-086ae0c845c6.npy,train
pose_data/train/hammer curl/cde574c7-b53f-4eb9-b831-3296640dc9bc.npy,hammer curl,cde574c7-b53f-4eb9-b831-3296640dc9bc.npy,train
pose_data/train/hammer curl/a9bfb658-28b1-4388-b5a9-d93e89ed4db1.npy,hammer curl,a9bfb658-28b1-4388-b5a9-d93e89ed4db1.npy,train
pose_data/train/hammer curl/981db855-d65a-4a27-8e46-fb0bccbeab29.npy,hammer curl,981db855-d65a-4a27-8e46-fb0bccbeab29.npy,train
pose_data/train/hammer curl/ad3e30e5-ca2d-4275-9678-1804612011dc.npy,hammer curl,ad3e30e5-ca2d-4275-9678-1804612011dc.npy,train
pose_data/train/hammer curl/17c7adb3-ee32-401e-976d-7f56819bd516.npy,hammer curl,17c7adb3-ee32-401e-976d-7f56819bd516.npy,train
pose_data/train/hammer curl/b628aaa9-b2c3-4b8a-9aaf-2c3d536ec348.npy,hammer curl,b628aaa9-b2c3-4b8a-9aaf-2c3d536ec348.npy,train
pose_data/train/hammer curl/74ec856b-7a54-47b9-8944-646ee276dcad.npy,hammer curl,74ec856b-7a54-47b9-8944-646ee276dcad.npy,train
pose_data/train/hammer curl/7b16d137-3cb3-4a8a-a7af-429f46aaaec5.npy,hammer curl,7b16d137-3cb3-4a8a-a7af-429f46aaaec5.npy,train
pose_data/train/hammer curl/386c14ce-4800-4462-bd0d-669a38a2d85c.npy,hammer curl,386c14ce-4800-4462-bd0d-669a38a2d85c.npy,train
pose_data/train/hammer curl/274d3a10-a171-49b9-8a0d-ff38054e5e48.npy,hammer curl,274d3a10-a171-49b9-8a0d-ff38054e5e48.npy,train
pose_data/train/hammer curl/8aa77964-8055-4c92-b4c7-e256dc8873df.npy,hammer curl,8aa77964-8055-4c92-b4c7-e256dc8873df.npy,train
pose_data/train/hammer curl/79fe7746-c205-411d-bc02-14764cc1a065.npy,hammer curl,79fe7746-c205-411d-bc02-14764cc1a065.npy,train
pose_data/train/hammer curl/efe77b9d-6bea-43ab-b5bd-43097f39f440.npy,hammer curl,efe77b9d-6bea-43ab-b5bd-43097f39f440.npy,train
pose_data/train/hammer curl/221dfead-cbf5-4294-add2-b6c7c079ccd8.npy,hammer curl,221dfead-cbf5-4294-add2-b6c7c079ccd8.npy,train
pose_data/train/hammer curl/49fed279-c058-48bd-929b-b8bb0f474ba8.npy,hammer curl,49fed279-c058-48bd-929b-b8bb0f474ba8.npy,train
pose_data/train/hammer curl/5caf4fbb-8206-45b4-b059-a5ba94a81b6e.npy,hammer curl,5caf4fbb-8206-45b4-b059-a5ba94a81b6e.npy,train
pose_data/train/hammer curl/8b03b2ca-0473-4224-b96f-d1c91543e4ee.npy,hammer curl,8b03b2ca-0473-4224-b96f-d1c91543e4ee.npy,train
pose_data/train/hammer curl/7c64b9de-3c8a-45b4-88cc-1b2732e5550b.npy,hammer curl,7c64b9de-3c8a-45b4-88cc-1b2732e5550b.npy,train
pose_data/train/hammer curl/a13d8f9c-803a-42b3-af38-7afab4c668c9.npy,hammer curl,a13d8f9c-803a-42b3-af38-7afab4c668c9.npy,train
pose_data/train/hammer curl/9d3b3deb-0b27-441e-97c8-bac537d28d16.npy,hammer curl,9d3b3deb-0b27-441e-97c8-bac537d28d16.npy,train
pose_data/train/hammer curl/8664b054-7588-470f-ba30-54229f7fd97d.npy,hammer curl,8664b054-7588-470f-ba30-54229f7fd97d.npy,train
pose_data/train/hammer curl/46326f15-0403-4b64-8b34-cd57bb099ff6.npy,hammer curl,46326f15-0403-4b64-8b34-cd57bb099ff6.npy,train
pose_data/train/hammer curl/796e272f-a8e1-4e30-806e-ab02ace4456e.npy,hammer curl,796e272f-a8e1-4e30-806e-ab02ace4456e.npy,train
pose_data/train/hammer curl/d5470fe7-802b-4793-b58f-695ecf17e883.npy,hammer curl,d5470fe7-802b-4793-b58f-695ecf17e883.npy,train
pose_data/train/hammer curl/c53d7fbc-32e4-4768-9068-127206bfa2da.npy,hammer curl,c53d7fbc-32e4-4768-9068-127206bfa2da.npy,train
pose_data/train/hammer curl/7ac6ad78-bb78-45e4-a2c0-38e22ae6dbc9.npy,hammer curl,7ac6ad78-bb78-45e4-a2c0-38e22ae6dbc9.npy,train
pose_data/train/hammer curl/98f7d897-7b6d-40ae-a866-c25feaf68768.npy,hammer curl,98f7d897-7b6d-40ae-a866-c25feaf68768.npy,train
pose_data/train/hammer curl/82352475-2dc4-403f-a360-4767c1a3ef84.npy,hammer curl,82352475-2dc4-403f-a360-4767c1a3ef84.npy,train
pose_data/train/hammer curl/9b933537-4210-49d8-9c81-ced8363c91b7.npy,hammer curl,9b933537-4210-49d8-9c81-ced8363c91b7.npy,train
pose_data/train/hammer curl/b481cd3d-99c0-4eec-9f41-1468c3dfa32e.npy,hammer curl,b481cd3d-99c0-4eec-9f41-1468c3dfa32e.npy,train
pose_data/train/hammer curl/9a12072d-3412-445d-9d2b-0fd22773e166.npy,hammer curl,9a12072d-3412-445d-9d2b-0fd22773e166.npy,train
pose_data/train/hammer curl/65631ee4-e522-4d45-902b-a2ec1a4a4f5b.npy,hammer curl,65631ee4-e522-4d45-902b-a2ec1a4a4f5b.npy,train
pose_data/train/hammer curl/ee30a3fe-3ad3-4933-9fb8-e2a701156c3e.npy,hammer curl,ee30a3fe-3ad3-4933-9fb8-e2a701156c3e.npy,train
pose_data/train/hammer curl/025f35e2-102a-4f99-bca8-16cd509774f3.npy,hammer curl,025f35e2-102a-4f99-bca8-16cd509774f3.npy,train
pose_data/train/hammer curl/e5936ad9-cdb1-4c9a-8aec-fc3c0fe2c763.npy,hammer curl,e5936ad9-cdb1-4c9a-8aec-fc3c0fe2c763.npy,train
pose_data/train/hammer curl/388ccfd0-cd61-4baf-bf0b-1ba409f5a923.npy,hammer curl,388ccfd0-cd61-4baf-bf0b-1ba409f5a923.npy,train
pose_data/train/hammer curl/63e0936f-5022-4ec2-8094-f4a85b819820.npy,hammer curl,63e0936f-5022-4ec2-8094-f4a85b819820.npy,train
pose_data/train/hammer curl/400945b0-328a-4e8b-a12a-378d84dfd250.npy,hammer curl,400945b0-328a-4e8b-a12a-378d84dfd250.npy,train
pose_data/train/hammer curl/ce7652ea-b009-45b4-a806-44091ec282b5.npy,hammer curl,ce7652ea-b009-45b4-a806-44091ec282b5.npy,train
pose_data/train/hammer curl/bcfe17c9-be7e-4922-ba44-2cead2e51daa.npy,hammer curl,bcfe17c9-be7e-4922-ba44-2cead2e51daa.npy,train
pose_data/train/hammer curl/b01049e8-a2c3-479c-973a-049c2a743cb0.npy,hammer curl,b01049e8-a2c3-479c-973a-049c2a743cb0.npy,train
pose_data/train/hammer curl/5d4e8a39-e833-48e1-aaed-6fb494672e3a.npy,hammer curl,5d4e8a39-e833-48e1-aaed-6fb494672e3a.npy,train
pose_data/train/hammer curl/2d518a65-4a3a-4db6-b8b8-e914096c9831.npy,hammer curl,2d518a65-4a3a-4db6-b8b8-e914096c9831.npy,train
pose_data/train/hammer curl/11405bb0-a4a5-4ada-bcf6-8642e0450862.npy,hammer curl,11405bb0-a4a5-4ada-bcf6-8642e0450862.npy,train
pose_data/train/hammer curl/9932a977-7ce8-43b6-8465-55910e585f50.npy,hammer curl,9932a977-7ce8-43b6-8465-55910e585f50.npy,train
pose_data/train/hammer curl/41b071ed-0646-4a53-b083-ce2af67efcde.npy,hammer curl,41b071ed-0646-4a53-b083-ce2af67efcde.npy,train
pose_data/train/hammer curl/e9fee8fb-142d-49b5-b522-70942ae936fb.npy,hammer curl,e9fee8fb-142d-49b5-b522-70942ae936fb.npy,train
pose_data/train/tricep Pushdown/dcd15448-310d-402c-b439-32880da6cb72.npy,tricep Pushdown,dcd15448-310d-402c-b439-32880da6cb72.npy,train
pose_data/train/tricep Pushdown/e849bd44-91cf-44e4-8e2a-ec33ba2d2534.npy,tricep Pushdown,e849bd44-91cf-44e4-8e2a-ec33ba2d2534.npy,train
pose_data/train/tricep Pushdown/ad8ca5a6-4b50-4dbc-8948-a68df1a8dfb7.npy,tricep Pushdown,ad8ca5a6-4b50-4dbc-8948-a68df1a8dfb7.npy,train
pose_data/train/tricep Pushdown/17a7cf23-8588-4098-8fec-55ebac924ae7.npy,tricep Pushdown,17a7cf23-8588-4098-8fec-55ebac924ae7.npy,train
pose_data/train/tricep Pushdown/7576a57e-a7a2-45f3-94f3-e6a30e65fdd1.npy,tricep Pushdown,7576a57e-a7a2-45f3-94f3-e6a30e65fdd1.npy,train
pose_data/train/tricep Pushdown/04088682-27dc-4fe0-b21c-5f2f2e0da82d.npy,tricep Pushdown,04088682-27dc-4fe0-b21c-5f2f2e0da82d.npy,train
pose_data/train/tricep Pushdown/f6f86565-224c-4092-9ec4-33d15e95d26f.npy,tricep Pushdown,f6f86565-224c-4092-9ec4-33d15e95d26f.npy,train
pose_data/train/tricep Pushdown/458929c2-e7ce-45bb-b9d6-76373bc536fd.npy,tricep Pushdown,458929c2-e7ce-45bb-b9d6-76373bc536fd.npy,train
pose_data/train/tricep Pushdown/728d7865-aef0-4a95-9170-c5472ba91779.npy,tricep Pushdown,728d7865-aef0-4a95-9170-c5472ba91779.npy,train
pose_data/train/tricep Pushdown/8a483764-47b0-41af-94fe-f4f512f3ef51.npy,tricep Pushdown,8a483764-47b0-41af-94fe-f4f512f3ef51.npy,train
pose_data/train/tricep Pushdown/9b7b777d-1ae7-4574-b649-b932bd4f6598.npy,tricep Pushdown,9b7b777d-1ae7-4574-b649-b932bd4f6598.npy,train
pose_data/train/tricep Pushdown/61a1a685-38c8-4350-9706-5a9b6895f316.npy,tricep Pushdown,61a1a685-38c8-4350-9706-5a9b6895f316.npy,train
pose_data/train/tricep Pushdown/2b7c07ca-1be3-4da4-81bc-b562038ad327.npy,tricep Pushdown,2b7c07ca-1be3-4da4-81bc-b562038ad327.npy,train
pose_data/train/tricep Pushdown/3d364ded-cc3b-45f4-95dd-f682003a6cd6.npy,tricep Pushdown,3d364ded-cc3b-45f4-95dd-f682003a6cd6.npy,train
pose_data/train/tricep Pushdown/240afa50-5e28-4e24-af2f-485a3e898d81.npy,tricep Pushdown,240afa50-5e28-4e24-af2f-485a3e898d81.npy,train
pose_data/train/tricep Pushdown/6f8200e3-2a52-4bda-8bdd-1eac9ba3131b.npy,tricep Pushdown,6f8200e3-2a52-4bda-8bdd-1eac9ba3131b.npy,train
pose_data/train/tricep Pushdown/47ad10cc-0e26-42c0-ba5b-66cd385e61cd.npy,tricep Pushdown,47ad10cc-0e26-42c0-ba5b-66cd385e61cd.npy,train
pose_data/train/tricep Pushdown/d046a854-b6a7-4334-aff0-dc66b2e6ac40.npy,tricep Pushdown,d046a854-b6a7-4334-aff0-dc66b2e6ac40.npy,train
pose_data/train/tricep Pushdown/b57f3b09-3f51-414e-9b87-c5fe382dee4e.npy,tricep Pushdown,b57f3b09-3f51-414e-9b87-c5fe382dee4e.npy,train
pose_data/train/tricep Pushdown/b66ce34a-6a9c-4bf8-bdb0-fca3e7315b67.npy,tricep Pushdown,b66ce34a-6a9c-4bf8-bdb0-fca3e7315b67.npy,train
pose_data/train/tricep Pushdown/7f366e0d-0361-40f3-9fb1-d1adfb567674.npy,tricep Pushdown,7f366e0d-0361-40f3-9fb1-d1adfb567674.npy,train
pose_data/train/tricep Pushdown/a20188b1-88c8-4b1c-9452-7e2e7d92b8fe.npy,tricep Pushdown,a20188b1-88c8-4b1c-9452-7e2e7d92b8fe.npy,train
pose_data/train/tricep Pushdown/39b63c6d-b338-4aa0-8291-b8526593c5bf.npy,tricep Pushdown,39b63c6d-b338-4aa0-8291-b8526593c5bf.npy,train
pose_data/train/tricep Pushdown/784506cf-ed1d-465d-88e3-dc1b3b43a5ed.npy,tricep Pushdown,784506cf-ed1d-465d-88e3-dc1b3b43a5ed.npy,train
pose_data/train/tricep Pushdown/ac36b056-746d-4290-9254-a220772332d3.npy,tricep Pushdown,ac36b056-746d-4290-9254-a220772332d3.npy,train
pose_data/train/tricep Pushdown/fe25cc52-70ec-4e42-a831-8e6f697e46a7.npy,tricep Pushdown,fe25cc52-70ec-4e42-a831-8e6f697e46a7.npy,train
pose_data/train/tricep Pushdown/32c03ab2-81dc-4035-a17b-fea1decce273.npy,tricep Pushdown,32c03ab2-81dc-4035-a17b-fea1decce273.npy,train
pose_data/train/tricep Pushdown/a0c83e89-bf5e-47a5-a7f8-8f463c1376e4.npy,tricep Pushdown,a0c83e89-bf5e-47a5-a7f8-8f463c1376e4.npy,train
pose_data/train/tricep Pushdown/01bc7752-0735-42d5-b165-276c5ab78982.npy,tricep Pushdown,01bc7752-0735-42d5-b165-276c5ab78982.npy,train
